Datetime,Open,High,Low,Close,Volume
2021-03-26 04:00:00-04:00,390.7,391.26,390.7,391.16,0
2021-03-26 04:05:00-04:00,391.17,391.37,391.04,391.04,0
2021-03-26 04:10:00-04:00,391.06,391.16,390.9,390.9,0
2021-03-26 04:15:00-04:00,390.88,391.16,390.86,390.94,0
2021-03-26 04:20:00-04:00,390.94,391.07,390.94,390.96,0
2021-03-26 04:25:00-04:00,390.97,390.97,390.83,390.85,0
2021-03-26 04:30:00-04:00,390.83,390.96,390.8,390.86,0
2021-03-26 04:35:00-04:00,390.83,390.96,390.83,390.96,0
2021-03-26 04:40:00-04:00,390.97,390.97,390.97,390.97,0
2021-03-26 04:45:00-04:00,391.0,391.1,391.0,391.09,0
2021-03-26 04:50:00-04:00,391.05,391.05,390.77,390.83,0
2021-03-26 04:55:00-04:00,390.76,390.86,390.76,390.86,0
2021-03-26 05:00:00-04:00,390.96,391.05,390.81,391.05,0
2021-03-26 05:05:00-04:00,391.0,391.0,390.68,390.68,0
2021-03-26 05:10:00-04:00,390.66,390.67,390.5,390.57,0
2021-03-26 05:15:00-04:00,390.56,390.72,390.5,390.72,0
2021-03-26 05:20:00-04:00,390.72,390.77,390.64,390.64,0
2021-03-26 05:25:00-04:00,390.64,390.7,390.63,390.69,0
2021-03-26 05:30:00-04:00,390.75,390.76,390.7,390.7,0
2021-03-26 05:35:00-04:00,390.75,390.75,390.68,390.72,0
2021-03-26 05:40:00-04:00,390.72,390.72,390.53,390.61,0
2021-03-26 05:45:00-04:00,390.65,390.7,390.62,390.7,0
2021-03-26 05:50:00-04:00,390.7,390.71,390.66,390.71,0
2021-03-26 05:55:00-04:00,390.76,390.81,390.75,390.81,0
2021-03-26 06:00:00-04:00,390.76,390.78,390.76,390.78,0
2021-03-26 06:05:00-04:00,390.78,390.78,390.68,390.74,0
2021-03-26 06:10:00-04:00,390.86,390.9,390.76,390.76,0
2021-03-26 06:15:00-04:00,390.7,390.7,390.56,390.56,0
2021-03-26 06:20:00-04:00,390.59,390.62,390.46,390.62,0
2021-03-26 06:25:00-04:00,390.63,390.69,390.63,390.65,0
2021-03-26 06:30:00-04:00,390.6,390.6,390.46,390.54,0
2021-03-26 06:35:00-04:00,390.59,390.6,390.36,390.39,0
2021-03-26 06:40:00-04:00,390.35,390.43,390.26,390.43,0
2021-03-26 06:45:00-04:00,390.4,390.58,390.4,390.58,0
2021-03-26 06:50:00-04:00,390.55,390.65,390.55,390.65,0
2021-03-26 06:55:00-04:00,390.66,390.66,390.48,390.58,0
2021-03-26 07:00:00-04:00,390.52,390.67,390.4,390.41,0
2021-03-26 07:05:00-04:00,390.4,390.74,390.36,390.67,0
2021-03-26 07:10:00-04:00,390.7,390.73,390.57,390.58,0
2021-03-26 07:15:00-04:00,390.58,390.58,390.46,390.49,0
2021-03-26 07:20:00-04:00,390.48,390.48,390.15,390.33,0
2021-03-26 07:25:00-04:00,390.34,390.42,390.08,390.14,0
2021-03-26 07:30:00-04:00,390.14,390.31,390.08,390.31,0
2021-03-26 07:35:00-04:00,390.36,390.44,390.32,390.42,0
2021-03-26 07:40:00-04:00,390.4,390.46,390.3,390.4,0
2021-03-26 07:45:00-04:00,390.4,390.52,390.37,390.39,0
2021-03-26 07:50:00-04:00,390.39,390.46,390.35,390.43,0
2021-03-26 07:55:00-04:00,390.44,391.03,390.44,390.62,0
2021-03-26 08:00:00-04:00,390.7,390.78,390.0901,390.27,0
2021-03-26 08:05:00-04:00,390.23,390.3,390.17,390.2,0
2021-03-26 08:10:00-04:00,390.2,390.58,390.16,390.26,0
2021-03-26 08:15:00-04:00,390.27,390.27,390.05,390.19,0
2021-03-26 08:20:00-04:00,390.16,390.2,390.09,390.09,0
2021-03-26 08:25:00-04:00,390.09,390.16,390.01,390.12,0
2021-03-26 08:30:00-04:00,390.07,390.39,390.07,390.36,0
2021-03-26 08:35:00-04:00,390.37,390.75,390.36,390.69,0
2021-03-26 08:40:00-04:00,390.67,390.9899,390.64,390.98,0
2021-03-26 08:45:00-04:00,390.99,391.0,389.7,390.63,0
2021-03-26 08:50:00-04:00,390.65,390.7,390.6,390.65,0
2021-03-26 08:55:00-04:00,390.64,390.71,390.6,390.65,0
2021-03-26 09:00:00-04:00,390.61,390.85,390.46,390.53,0
2021-03-26 09:05:00-04:00,390.53,390.7,390.53,390.69,0
2021-03-26 09:10:00-04:00,390.69,390.95,390.66,390.82,0
2021-03-26 09:30:00-04:00,390.92999267578125,391.3399963378906,390.8399963378906,391.2699890136719,2569929
2021-03-26 09:35:00-04:00,391.2699890136719,391.32000732421875,390.9700012207031,391.2200012207031,1346959
2021-03-26 09:40:00-04:00,391.2200012207031,391.32501220703125,390.840087890625,391.0299987792969,1063837
2021-03-26 09:45:00-04:00,391.04998779296875,391.3900146484375,390.9100036621094,391.20001220703125,987380
2021-03-26 09:50:00-04:00,391.19000244140625,391.25,390.8699951171875,391.1000061035156,982161
2021-03-26 09:55:00-04:00,391.1099853515625,391.3699951171875,391.1099853515625,391.2799987792969,592405
2021-03-26 10:00:00-04:00,391.2799987792969,391.8800048828125,391.05999755859375,391.8599853515625,1294083
2021-03-26 10:05:00-04:00,391.8599853515625,391.8900146484375,391.5299987792969,391.57000732421875,1010265
2021-03-26 10:10:00-04:00,391.569091796875,391.70001220703125,391.3819885253906,391.67889404296875,1249518
